Category,Region,Total Sales,Total Profit,Total Quantity
Office,North,1465467.7599999986,254504.22000000003,3074
Office,West,1371166.7999999998,243848.07,3066
Accessories,East,5685792.679999998,980481.2799999985,12019
Electronics,North,7421615.479999991,1303776.8400000005,16037
Electronics,East,7372169.890000001,1300747.4799999988,15709
Office,South,1536402.6599999992,269974.6800000001,3309
Electronics,South,7486693.080000004,1315305.9200000009,15732
Accessories,North,5965437.250000003,1039389.8900000008,12881
Electronics,West,7280552.980000003,1261921.1300000013,15817
Accessories,West,5965724.479999984,1046615.59,12876
Office,East,1503028.3900000006,265387.00999999995,3296
Accessories,South,6006485.829999987,1067833.7000000016,13205
