Product Name,Region,Total Sales,Total Profit,Total Quantity
Printer,West,1371166.7999999998,243848.07,3066
Headphones,West,1536734.340000002,270015.35000000003,3250
Headphones,South,1472840.080000001,252650.9399999999,3244
Tablet,North,1473535.9900000002,262411.34999999986,3265
Laptop,East,1411517.300000001,250699.31000000014,2963
Mobile,North,1547826.069999998,272299.68000000005,3291
Monitor,West,1466947.9399999997,250366.75999999975,3179
Mobile,East,1397544.63,249398.66999999998,3092
Monitor,North,1458819.4600000014,258460.31000000006,3124
Camera,East,1464663.85,254839.51,3245
Speaker,East,1349341.2399999993,230009.10000000015,2886
Keyboard,East,1518617.2000000002,270207.9799999998,3107
Camera,North,1388815.620000001,241468.5899999999,3140
Mobile,West,1492748.2599999993,264113.26000000007,3267
Tablet,East,1537708.2700000012,272372.33,3271
Keyboard,North,1448914.3400000003,251984.01000000013,3143
Camera,South,1462498.259999999,259336.0799999999,3188
Keyboard,West,1501178.499999999,263567.30000000005,3293
Speaker,South,1560972.7500000016,284396.01000000007,3453
Monitor,East,1560735.84,273437.66000000015,3138
Printer,East,1503028.3900000006,265387.00999999995,3296
Speaker,North,1486183.9099999997,256802.35999999955,3103
Headphones,North,1563341.890000001,281148.1699999999,3276
Mouse,South,1517319.7000000014,278218.81999999995,3269
Tablet,West,1474994.1399999992,255728.3199999998,3172
Laptop,North,1552618.3400000017,269136.9100000001,3217
Mouse,North,1466997.1099999999,249455.35000000012,3359
Keyboard,South,1455353.3,252567.93000000005,3239
Mouse,East,1389508.3900000006,239376.13000000018,2927
Mouse,West,1497297.79,263152.33000000025,3210
Headphones,East,1428325.85,240888.07000000015,3099
Mobile,South,1545880.9500000002,272248.02,3260
Tablet,South,1499356.4000000004,267030.08000000025,3100
Monitor,South,1480057.2700000003,252930.81999999998,3060
Printer,North,1465467.7599999986,254504.22000000003,3074
Laptop,South,1498900.1999999997,263760.92000000045,3124
Camera,West,1437876.5599999996,249709.87,3138
Printer,South,1536402.6599999992,269974.6800000001,3309
Speaker,West,1430513.8499999992,249880.60999999972,3123
Laptop,West,1407986.0799999984,242002.91999999972,3061
