Order Date,Total Sales,Total Profit,Total Quantity
2026-06-20,1822968.3,311719.7500000001,3880
2026-06-27,1979070.3300000005,352922.3999999999,4217
2026-07-08,1860813.2700000003,340744.8100000002,4029
2026-07-09,1902572.4600000028,334653.4500000002,4016
2026-06-24,1763524.250000001,306233.27000000025,3844
2026-07-10,1823581.0700000026,314937.17999999993,4164
2026-07-03,1866041.7500000005,326064.9,4110
2026-06-18,1904329.169999999,343684.5900000003,4063
2026-06-21,1961904.1599999997,346999.8300000001,4232
2026-07-01,1874000.5300000024,333426.5599999996,3864
2026-07-12,1912387.739999998,331451.6899999997,4050
2026-07-05,1956105.8399999996,347491.99000000005,4068
2026-06-30,1879481.0500000005,317289.52999999997,3966
2026-06-16,1977798.4199999971,352895.0000000001,4089
2026-06-13,1923515.7500000012,333281.29000000027,4043
2026-06-12,1857910.6400000006,329146.6400000003,4100
2026-06-23,1975831.5700000024,346544.09,4134
2026-06-28,1987345.7499999995,347450.3800000003,4139
2026-06-14,1855886.3499999992,319946.12999999995,4142
2026-07-07,1845860.8999999985,309324.6699999999,3964
2026-06-26,2033472.2400000002,362348.04999999993,4354
2026-07-11,1915537.910000002,338520.7400000006,4078
2026-06-15,1903846.0300000007,319967.2700000005,3986
2026-06-19,1811418.3299999987,319699.8099999999,4129
2026-06-22,1915883.030000002,334742.7999999999,4328
2026-07-04,1934117.9899999995,344361.9200000005,4112
2026-06-25,1983236.7400000007,340870.56999999983,4228
2026-06-29,1859041.7300000007,330838.4999999998,4081
2026-07-02,2009583.459999999,351696.8,4389
2026-07-06,1896621.829999999,328874.7100000002,4069
2026-06-17,1866848.6900000013,331656.4899999998,4153
