Product Name,Total Sales,Total Profit,Total Quantity
Speaker,5827011.7499999935,1021088.0800000007,12565
Laptop,5871021.919999982,1025600.06,12365
Mouse,5871122.99,1030202.6300000006,12765
Camera,5753854.290000015,1005354.0500000004,12711
Mobile,5983999.909999993,1058059.6300000013,12910
Tablet,5985594.800000015,1057542.0800000015,12808
Printer,5876065.609999999,1033713.9799999973,12745
Keyboard,5924063.339999996,1038327.2199999988,12782
Monitor,5966560.510000005,1035195.550000002,12501
Headphones,6001242.159999987,1044702.5300000017,12869
