Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2026-06-28,Monitor,Electronics,West,1,2081.55,257.07
2026-06-29,Headphones,Accessories,North,8,4883.18,1462.84
2026-07-06,Speaker,Accessories,West,2,3008.46,412.92
2026-07-03,Printer,Office,West,2,4663.02,840.67
2026-07-01,Laptop,Electronics,North,5,703.32,55.12
2026-07-02,Printer,Office,South,6,4396.35,1318.25
2026-07-05,Tablet,Electronics,West,3,4489.54,1317.33
2026-07-04,Mouse,Accessories,West,10,4190.08,969.9
2026-06-25,Monitor,Electronics,South,8,4428.51,841.29
2026-06-16,Tablet,Electronics,East,1,107.57,6.1
2026-07-06,Mobile,Electronics,East,6,3102.67,559.28
2026-06-23,Speaker,Accessories,West,8,1677.2,85.85
2026-07-01,Tablet,Electronics,North,9,3407.38,738.14
2026-07-03,Printer,Office,South,7,1045.86,219.32
2026-06-26,Printer,Office,South,7,3399.57,544.53
2026-06-19,Printer,Office,West,7,887.84,165.11
2026-06-28,Monitor,Electronics,North,2,176.22,49.02
2026-06-30,Speaker,Accessories,West,6,1633.2,427.97
2026-07-05,Printer,Office,North,8,4143.59,284.11
2026-07-10,Speaker,Accessories,South,8,356.86,105.34
2026-07-05,Monitor,Electronics,East,9,4469.25,443.21
2026-06-25,Camera,Electronics,East,5,819.03,239.62
2026-06-27,Camera,Electronics,East,9,3539.04,894.23
2026-06-15,Laptop,Electronics,East,8,3645.89,689.04
2026-06-29,Printer,Office,East,10,3440.66,984.38
2026-07-09,Mouse,Accessories,East,1,789.63,137.51
2026-07-05,Mouse,Accessories,West,7,958.69,145.08
2026-06-26,Keyboard,Accessories,North,1,2352.86,506.0
2026-06-29,Laptop,Electronics,South,5,3929.89,926.81
2026-07-08,Tablet,Electronics,North,3,966.3,80.42
2026-07-10,Speaker,Accessories,North,5,4243.34,254.64
2026-06-15,Laptop,Electronics,North,7,993.0,80.25
2026-07-01,Headphones,Accessories,West,5,2199.38,415.99
2026-06-27,Laptop,Electronics,West,2,3754.8,423.24
2026-06-18,Speaker,Accessories,North,6,3196.54,429.19
2026-06-14,Monitor,Electronics,East,8,4086.21,896.07
2026-07-04,Camera,Electronics,North,3,1332.86,315.24
