Category,Region,Total Sales,Total Profit,Total Quantity
Office,North,2836515.0099999984,512838.5800000001,6166
Office,West,3059423.529999999,539719.3900000006,6532
Accessories,East,1.1491254100000039E7,2007271.7499999988,24296
Electronics,North,1.4485383049999965E7,2516114.2499999967,31782
Electronics,East,1.4505939259999938E7,2550436.050000015,31391
Office,South,2936358.4499999983,506429.5799999994,6403
Electronics,South,1.4530138079999993E7,2543903.7699999963,31305
Accessories,North,1.1872862299999975E7,2095279.840000002,25839
Electronics,West,1.4644741840000015E7,2514131.629999993,31554
Accessories,West,1.1547461850000001E7,1986950.900000007,24879
Office,East,2883308.6899999995,512951.6299999996,6344
Accessories,South,1.148959933999998E7,2014035.0999999999,24476
