Product Name,Region,Total Sales,Total Profit,Total Quantity
Printer,West,3059423.529999999,539719.3900000006,6532
Headphones,West,2806832.660000001,477343.2599999997,5999
Headphones,South,2957619.9499999965,526975.6499999999,6392
Tablet,North,2829234.46,484982.45999999996,6235
Mobile,North,2880089.2699999996,499591.1100000007,6393
Laptop,East,2864429.3199999984,515321.07999999955,6225
Monitor,West,3073420.169999998,513837.11999999976,6488
Mobile,East,2937157.200000006,508713.78000000014,6165
Monitor,North,3013988.069999999,519439.3400000004,6734
Camera,East,3000503.3800000018,531299.19,6593
Speaker,East,2888623.179999998,506340.1299999999,5987
Keyboard,East,2918438.2100000028,512277.2599999998,5912
Mobile,West,2857801.2799999984,487306.1700000009,6189
Camera,North,2896482.889999996,505537.8399999998,6250
Tablet,East,2815251.1699999976,497177.4399999997,5928
Keyboard,North,2996743.9299999983,537743.7700000005,6312
Camera,South,2812410.709999998,488825.46000000025,5972
Keyboard,West,2858269.840000005,484987.5399999999,6256
Speaker,South,2901114.549999995,511936.82999999967,6261
Monitor,East,2888598.1899999967,497924.55999999936,6480
Printer,East,2883308.6899999995,512951.6299999996,6344
Speaker,North,3055400.6100000027,532954.36,6783
Headphones,North,2898861.5899999947,506057.0800000007,6163
Mouse,South,2826876.2099999995,489192.1400000003,6007
Tablet,West,2986880.589999998,514364.56,6518
Laptop,North,2865588.359999999,506563.5000000005,6170
Mouse,North,2921856.1700000046,518524.62999999966,6581
Keyboard,South,2803988.629999996,485930.47999999986,5816
Mouse,East,2938412.47,514147.14000000013,6397
Mouse,West,2918257.040000004,505424.49,6307
Headphones,East,2745780.2400000007,474507.22000000026,6000
Mobile,South,2877015.749999997,507324.9300000002,6293
Tablet,South,3076612.509999996,540178.1199999993,6378
Monitor,South,3008863.7599999974,521318.3800000002,6581
Printer,North,2836515.0099999984,512838.5800000001,6166
Laptop,South,2755235.3499999973,486256.87999999966,6081
Camera,West,2813251.539999998,481160.02000000025,5949
Printer,South,2936358.4499999983,506429.5799999994,6403
Speaker,West,2964102.3100000005,519195.6099999995,6317
Laptop,West,2913388.260000002,517463.7599999998,6410
