Order Date,Total Sales,Total Profit,Total Quantity
2026-06-20,3720940.459999994,651062.2699999989,8066
2026-06-27,3845764.9199999953,689468.010000002,8177
2026-07-08,3966723.7299999986,678046.2099999988,8317
2026-07-09,3842277.0399999996,674481.8300000005,8068
2026-06-24,3765484.9499999993,651981.0899999994,8028
2026-07-10,3714324.4600000023,631967.6100000002,8003
2026-07-03,3834578.089999994,673417.7699999998,8531
2026-06-18,3597739.8599999994,632946.55,7916
2026-06-21,3663916.5000000023,642915.5700000004,7914
2026-07-01,3807956.100000004,656654.8400000018,8175
2026-07-12,3844329.7800000007,668511.7300000002,8205
2026-07-05,3792875.4,662943.8799999997,8193
2026-06-30,3521109.1100000027,612758.6899999994,7841
2026-06-16,3741284.259999997,648331.8699999981,7968
2026-06-13,3849484.2200000016,660893.6100000006,8381
2026-06-12,3789118.359999998,651765.4000000014,8296
2026-06-23,3778899.2699999986,659331.3099999999,8319
2026-06-28,3813832.94,663885.2500000008,8138
2026-06-14,3830052.38,677837.6800000004,8146
2026-07-07,3588059.219999999,628645.3900000014,7914
2026-06-26,3601957.3299999954,634272.5899999993,7713
2026-07-11,3634431.090000004,646167.0300000003,8000
2026-06-15,3776033.3000000017,648336.230000001,8326
2026-06-19,3733846.4700000035,651252.1399999992,7987
2026-06-22,3912519.1200000015,679518.29,8370
2026-07-04,3725740.4299999997,640839.2900000005,8238
2026-06-25,3745866.320000007,666300.9200000011,7650
2026-06-29,3989281.9399999967,691685.4800000003,8522
2026-07-02,3598075.269999994,646569.2899999989,7950
2026-07-06,3595816.8900000006,640125.5099999994,7884
2026-06-17,3660666.2899999954,637149.1399999985,7731
