Product Name,Total Sales,Total Profit,Total Quantity
Speaker,1.180924064999998E7,2070426.9300000067,25348
Laptop,1.1398641290000007E7,2025605.2200000011,24886
Mouse,1.1605401889999978E7,2027288.4000000006,25292
Camera,1.152264851999997E7,2006822.5099999956,24764
Mobile,1.155206349999998E7,2002935.9900000016,25040
Tablet,1.1707978729999984E7,2036702.5800000005,25059
Printer,1.1715605679999977E7,2071939.1799999955,25445
Keyboard,1.157744060999999E7,2020939.0500000005,24296
Monitor,1.1984870189999973E7,2052519.399999998,26283
Headphones,1.1409094440000018E7,1984883.2099999983,24554
