Order Date,Total Sales,Total Profit,Total Quantity
2026-06-20,2181514.1400000006,373997.6399999996,4814
2026-06-27,2215909.0500000003,374774.8899999998,4731
2026-07-08,2085877.4200000002,372946.32000000053,4599
2026-07-09,2073880.0100000014,367343.7399999999,4390
2026-06-24,2183682.3300000015,386064.61999999994,4842
2026-07-10,2095852.0300000007,359810.62999999995,4538
2026-07-03,2233430.350000002,392154.12999999983,4891
2026-06-18,2166832.2,381138.6399999999,4567
2026-06-21,2076554.4900000019,355003.3399999997,4388
2026-07-01,2128102.5999999978,371810.7999999999,4530
2026-07-12,2128488.710000001,371892.6199999997,4780
2026-07-05,2140592.3799999994,372894.71,4698
2026-06-30,2205056.580000002,380263.9399999997,4498
2026-06-16,2138731.1999999993,372853.4199999997,4479
2026-06-13,2162623.3700000015,381465.79000000015,4532
2026-06-12,2162116.460000001,377103.7099999995,4786
2026-06-28,2096317.6099999978,367760.18,4640
2026-06-23,2239088.8999999985,374705.89000000025,4745
2026-06-14,2045961.4599999979,353813.32999999984,4363
2026-07-07,2066749.839999999,361508.7199999999,4552
2026-06-26,2162648.8499999987,382795.82000000024,4542
2026-07-11,2146852.909999999,372096.1200000001,4704
2026-06-15,2098727.9700000016,368294.6199999997,4434
2026-06-19,2141941.7100000014,364409.7699999999,4576
2026-06-22,2315886.199999998,411358.92999999964,5128
2026-07-04,2129702.260000001,374713.5100000002,4783
2026-06-25,2102218.07,372685.0799999998,4497
2026-06-29,2125590.390000001,361454.1099999999,4507
2026-07-02,2094317.0900000003,359267.2899999999,4535
2026-07-06,2214426.289999997,392541.34999999986,4538
2026-06-17,2151821.410000003,376526.7700000003,4763
