Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2026-07-12,Tablet,Electronics,South,1,4996.85,1331.62
2026-06-29,Laptop,Electronics,South,10,3886.69,1130.6
2026-07-06,Monitor,Electronics,West,2,1239.51,313.04
2026-07-03,Keyboard,Accessories,West,2,1618.02,296.13
2026-07-09,Mobile,Electronics,North,1,3063.14,858.1
2026-06-24,Camera,Electronics,West,3,2036.65,274.76
2026-06-19,Tablet,Electronics,East,7,4927.71,1112.45
2026-06-18,Keyboard,Accessories,North,4,4454.18,439.71
2026-07-08,Headphones,Accessories,North,7,4332.48,598.75
2026-06-29,Keyboard,Accessories,West,3,2555.59,467.93
2026-07-07,Laptop,Electronics,East,8,1238.67,161.47
2026-06-28,Headphones,Accessories,West,2,3766.37,966.03
2026-06-15,Tablet,Electronics,West,5,1109.49,229.05
2026-06-22,Printer,Office,North,1,3822.63,262.83
2026-07-03,Camera,Electronics,East,6,1198.32,229.61
2026-06-26,Monitor,Electronics,West,8,1492.1,239.92
2026-06-23,Keyboard,Accessories,East,4,305.51,36.08
2026-07-04,Laptop,Electronics,East,2,3593.07,885.93
2026-06-30,Keyboard,Accessories,East,3,2886.82,223.43
2026-07-11,Tablet,Electronics,East,1,1192.22,264.35
2026-06-27,Camera,Electronics,South,9,509.67,62.05
2026-06-23,Keyboard,Accessories,North,10,3293.5,437.13
2026-06-26,Laptop,Electronics,West,5,3162.72,237.7
2026-07-03,Monitor,Electronics,North,10,4136.45,910.64
2026-07-11,Mobile,Electronics,East,5,3183.2,472.47
2026-07-11,Laptop,Electronics,South,8,4134.78,1027.47
2026-06-26,Camera,Electronics,South,1,907.35,152.58
2026-06-23,Laptop,Electronics,South,9,3301.01,894.73
2026-06-16,Mobile,Electronics,North,5,187.47,39.33
2026-06-24,Printer,Office,North,3,1744.74,173.62
2026-07-10,Mobile,Electronics,West,3,971.7,258.51
2026-06-26,Laptop,Electronics,West,5,4783.48,1157.89
2026-07-06,Mouse,Accessories,North,9,4770.72,745.96
2026-06-23,Headphones,Accessories,West,3,2326.83,456.43
