Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2026-07-04,Mouse,Accessories,West,9,1214.54,96.63
2026-06-19,Camera,Electronics,West,8,1423.21,351.35
2026-06-15,Headphones,Accessories,North,9,1047.95,83.71
2026-06-28,Camera,Electronics,East,8,3915.17,971.38
2026-07-09,Keyboard,Accessories,East,9,3089.5,828.51
2026-07-08,Printer,Office,East,6,3536.53,949.25
2026-06-17,Camera,Electronics,North,4,4064.63,695.28
2026-07-07,Keyboard,Accessories,East,2,4606.71,794.93
2026-07-07,Mouse,Accessories,East,5,607.02,130.4
2026-07-07,Mouse,Accessories,North,7,3911.48,655.13
2026-06-15,Tablet,Electronics,South,4,1967.39,407.35
2026-06-27,Headphones,Accessories,West,6,2231.52,503.99
2026-06-21,Tablet,Electronics,East,4,2671.6,324.2
2026-06-17,Camera,Electronics,West,8,527.65,51.6
2026-06-21,Mouse,Accessories,West,7,2466.74,494.24
2026-06-13,Mobile,Electronics,East,8,343.78,82.95
2026-06-17,Printer,Office,North,7,2418.41,159.24
2026-06-15,Monitor,Electronics,North,4,3412.48,504.08
2026-07-03,Monitor,Electronics,East,10,250.52,33.01
2026-07-07,Keyboard,Accessories,South,3,1474.22,247.28
2026-06-19,Mouse,Accessories,West,4,1570.15,191.24
2026-07-03,Mobile,Electronics,West,7,1773.99,466.54
2026-07-04,Monitor,Electronics,South,10,1516.77,152.52
2026-07-03,Printer,Office,West,3,926.84,214.85
2026-07-01,Speaker,Accessories,West,8,2367.91,235.2
2026-06-15,Tablet,Electronics,North,7,2094.47,417.38
2026-06-25,Mobile,Electronics,East,4,2216.11,532.44
2026-06-29,Headphones,Accessories,North,1,2174.52,301.36
2026-06-26,Keyboard,Accessories,North,2,564.67,162.86
2026-06-19,Speaker,Accessories,South,4,4219.07,799.56
2026-06-24,Keyboard,Accessories,North,10,4202.06,994.36
2026-07-07,Camera,Electronics,North,10,4541.89,449.25
2026-06-17,Mobile,Electronics,West,5,1531.76,428.79
2026-06-22,Mobile,Electronics,West,9,1064.08,253.3
2026-07-06,Mobile,Electronics,West,2,2353.9,478.03
2026-06-27,Printer,Office,East,4,2361.97,370.03
2026-07-04,Speaker,Accessories,West,4,4528.7,315.2
2026-06-24,Mobile,Electronics,North,10,3716.86,483.55
2026-06-16,Speaker,Accessories,West,4,2016.68,236.36
2026-06-17,Mobile,Electronics,South,7,1939.36,137.91
2026-06-17,Monitor,Electronics,East,10,4867.82,1277.08
2026-07-03,Camera,Electronics,North,4,3184.27,745.52
2026-06-28,Mouse,Accessories,South,8,1834.42,282.24
2026-06-15,Keyboard,Accessories,North,3,1860.06,548.18
2026-06-15,Monitor,Electronics,East,9,3903.28,365.47
2026-07-10,Monitor,Electronics,East,6,3578.06,598.76
2026-07-02,Mouse,Accessories,South,8,1323.85,238.15
2026-06-21,Headphones,Accessories,East,1,3128.7,895.0
2026-07-06,Speaker,Accessories,West,10,2624.24,783.28
2026-06-12,Laptop,Electronics,North,3,1161.01,222.17
2026-06-24,Laptop,Electronics,East,8,2114.84,239.04
2026-06-14,Tablet,Electronics,West,7,4796.91,714.1
2026-07-01,Monitor,Electronics,East,5,2214.58,165.71
2026-06-29,Keyboard,Accessories,South,10,3615.37,868.65
2026-06-16,Mobile,Electronics,West,1,1917.27,282.25
2026-07-03,Tablet,Electronics,North,10,1932.0,239.94
2026-06-24,Tablet,Electronics,South,9,1468.14,418.33
2026-07-09,Laptop,Electronics,East,3,650.72,165.12
2026-06-15,Keyboard,Accessories,South,10,1868.15,181.15
2026-07-10,Printer,Office,East,8,3955.53,307.82
2026-06-19,Speaker,Accessories,South,4,2974.01,860.08
2026-06-15,Speaker,Accessories,East,9,3591.85,666.25
2026-07-01,Laptop,Electronics,West,5,4244.47,1263.56
2026-06-26,Printer,Office,West,6,528.75,134.61
