Category,Region,Total Sales,Total Profit,Total Quantity
Office,North,4191846.0300000072,732302.2899999997,9127
Office,West,4461783.969999997,784045.25,9412
Accessories,East,1.6969319130000014E7,2956414.7899999954,36660
Electronics,North,2.138069221999999E7,3753500.7299999846,46108
Electronics,East,2.1530695359999992E7,3773901.2600000007,46559
Office,South,4269281.409999996,754043.080000001,9406
Electronics,South,2.1706775060000077E7,3784961.6200000006,46448
Accessories,North,1.7331464470000006E7,3044378.539999993,37952
Electronics,West,2.097816951000006E7,3703749.200000001,45992
Accessories,West,1.705040807999996E7,2985994.7499999986,36387
Office,East,4231530.249999998,738553.6400000004,8871
Accessories,South,1.7042978839999963E7,2985661.7600000054,36335
