Category,Region,Total Sales,Total Profit,Total Quantity
Office,North,223430,32575.349999999995,376
Office,West,267849,49184.59999999999,479
Accessories,East,1032315,177839.90999999983,1672
Electronics,North,1244702,221585.9900000001,2026
Electronics,East,1377211,239660.40999999992,2255
Office,South,337353,56246.79000000002,500
Electronics,South,1245527,214733.10999999993,2039
Accessories,North,1020641,172153.40999999992,1704
Electronics,West,1458634,247206.07999999984,2290
Accessories,West,1117967,198968.05000000008,1719
Office,East,265584,47388.139999999985,379
Accessories,South,1076668,187123.36999999976,1822
