Category,Region,Total Sales,Total Profit,Total Quantity
Office,North,2332898.97,402721.5499999995,5235
Office,West,2607167.919999998,455920.0300000007,5541
Accessories,East,9724397.770000003,1685384.390000001,21027
Electronics,North,1.245421628E7,2179391.7599999993,26485
Electronics,East,1.2562062170000019E7,2196179.7199999965,27368
Office,South,2499366.639999999,444972.7399999997,5414
Electronics,South,1.2561860159999978E7,2192229.140000002,27049
Accessories,North,1.0111606650000002E7,1780799.83,21949
Electronics,West,1.2058704779999968E7,2129459.6600000076,26526
Accessories,West,9875978.750000007,1728972.5399999977,21039
Office,East,2397083.4000000004,416393.14000000013,4963
Accessories,South,9942718.949999984,1751999.5900000003,20790
