Category,Region,Total Sales,Total Profit,Total Quantity
Office,North,1783283.5700000012,316074.4999999999,3838
Office,West,1805557.1600000006,322103.77999999985,3765
Accessories,East,6447317.520000007,1115167.010000001,13772
Electronics,North,8324059.140000005,1434571.67,18098
Electronics,East,8122346.500000006,1423872.6799999985,17905
Office,South,1672082.8700000003,294568.23999999993,3603
Electronics,South,8401345.199999996,1465666.760000001,17990
Accessories,North,6941748.090000003,1200985.3499999985,14848
Electronics,West,8105332.1799999885,1421093.9299999983,17380
Accessories,West,6745291.020000002,1168987.5900000024,14748
Office,East,1616634.2099999972,277467.4000000001,3689
Accessories,South,6546496.819999985,1144891.519999999,13734
