Year,Month,Total Sales,Total Profit,Total Quantity
2022,1,341544,63827.33000000001,540
2022,2,208775,34084.9,378
2022,3,294660,51931.81,466
2022,4,230624,44260.45,421
2022,5,314295,53504.97,484
2022,6,273851,48490.93000000001,468
2022,7,214627,40010.27000000001,358
2022,8,296242,47551.990000000005,498
2022,9,240211,41402.820000000014,409
2022,10,324989,52927.240000000005,514
2022,11,257111,50120.689999999995,457
2022,12,259041,44743.579999999994,394
2023,1,343256,63708.78000000003,524
2023,2,313931,53645.42999999998,456
2023,3,303391,53442.66999999999,518
2023,4,280808,49178.67000000003,435
2023,5,346481,59087.73000000002,536
2023,6,251686,43445.74999999999,455
2023,7,320798,55207.400000000016,513
2023,8,388428,65590.62000000002,583
2023,9,303409,51010.490000000005,457
2023,10,253145,44505.74999999999,437
2023,11,306195,52537.369999999995,469
2023,12,375064,75505.75999999997,542
2024,1,282814,49744.18000000001,443
2024,2,179708,31228.390000000007,304
2024,3,341563,56762.15000000001,548
2024,4,310444,52181.84000000001,538
2024,5,373911,60700.45000000002,593
2024,6,314268,51261.84999999998,503
2024,7,309515,54026.43999999999,540
2024,8,240269,39817.28000000001,418
2024,9,341926,57851.72999999998,533
2024,10,314135,55594.98000000002,498
2024,11,291769,42179.73,488
2024,12,324997,53592.78999999999,543
