Product Name,Region,Total Sales,Total Profit,Total Quantity
Printer,West,267849,49184.59999999999,479
Headphones,West,245579,44034.48,360
Smartwatch,South,240224,40307.49999999999,390
Headphones,South,292675,48918.51999999998,472
Tablet,North,242750,42228.89,407
Laptop,East,280147,49799.669999999984,452
Monitor,West,333979,62198.08999999999,500
Monitor,North,306624,52481.85000000001,504
Camera,East,261786,44880.720000000016,410
Keyboard,East,289877,49035.88000000002,469
Camera,North,281561,51539.92,415
Tablet,East,253186,43760.20000000002,407
Keyboard,North,251399,42854.25000000001,427
Camera,South,331476,61837.30000000001,527
Smartphone,West,333706,59196.060000000005,475
Keyboard,West,235583,40524.77,361
Monitor,East,256596,41722.839999999975,424
Smartphone,East,297276,55295.270000000004,469
Printer,East,265584,47388.139999999985,379
Headphones,North,198684,35271.579999999994,386
Mouse,South,273496,49179.679999999986,475
Tablet,West,274640,42341.53000000001,508
Smartphone,South,213148,34996.689999999995,327
Laptop,North,245796,47233.500000000015,414
Mouse,North,263934,41545.729999999996,387
Keyboard,South,247648,43399.77999999999,427
Mouse,East,234142,42827.570000000014,393
Mouse,West,302826,52210.710000000014,498
Headphones,East,251700,44253.61999999999,386
Smartwatch,East,284816,45924.54999999999,517
Smartwatch,North,249044,46774.73,444
Tablet,South,253352,39174.389999999985,411
Monitor,South,262849,45625.390000000014,448
Smartphone,North,225551,33808.94999999999,346
Printer,North,223430,32575.349999999995,376
Smartwatch,West,275127,45989.03,456
Laptop,South,207327,38417.229999999996,384
Camera,West,302558,49373.049999999996,443
Printer,South,337353,56246.79000000002,500
Laptop,West,272603,50306.410000000025,408
