Product Name,Region,Total Sales,Total Profit,Total Quantity
Printer,West,4461783.969999997,784045.25,9412
Headphones,West,4200874.810000001,741911.0200000007,8805
Headphones,South,4364949.759999994,759325.019999999,9117
Tablet,North,4359361.920000002,758719.8399999988,9417
Mobile,North,4208204.220000002,741091.8199999996,9289
Laptop,East,4464293.73,796669.5599999985,9449
Monitor,West,4157166.769999996,741788.1999999995,9112
Mobile,East,4211820.989999998,721868.419999999,9239
Monitor,North,4215392.520000003,744601.3900000005,9266
Speaker,East,4200744.920000001,728540.5999999994,8951
Camera,East,4309987.480000001,758521.5500000014,9251
Keyboard,East,4279523.63,743717.3400000015,9248
Camera,North,4272126.700000008,755053.6900000001,8990
Mobile,West,4297610.599999999,762056.6799999988,9345
Tablet,East,4133987.690000007,716938.5699999993,8974
Keyboard,North,4343742.929999999,764127.4099999991,9314
Camera,South,4282591.999999994,754366.7900000004,9150
Keyboard,West,4419538.160000001,765197.6199999988,9438
Speaker,South,4258371.100000003,752007.419999998,9025
Monitor,East,4410605.470000008,779903.1599999989,9646
Speaker,North,4337827.880000005,768831.2900000005,9355
Printer,East,4231530.249999998,738553.6400000004,8871
Headphones,North,4383755.800000004,767157.0800000015,9905
Mouse,South,4301126.7799999975,754464.1299999988,9144
Tablet,West,4043311.6499999966,711681.8899999991,8779
Laptop,North,4325606.86,754033.9899999994,9146
Mouse,North,4266137.86,744262.7599999991,9378
Keyboard,South,4118531.199999994,719865.1899999995,9049
Mouse,East,4261235.999999998,743827.8600000001,9348
Mouse,West,4313171.669999995,754279.0800000017,9373
Headphones,East,4227814.579999994,740328.9899999998,9113
Mobile,South,4366306.419999996,753371.2900000016,9385
Tablet,South,4251364.140000005,746630.59,9256
Monitor,South,4317261.669999994,754172.8500000017,9152
Printer,North,4191846.0300000072,732302.2899999997,9127
Laptop,South,4489250.830000003,776420.1000000001,9505
Camera,West,4315047.010000004,753842.0499999992,9644
Printer,South,4269281.409999996,754043.080000001,9406
Speaker,West,4116823.439999992,724607.0300000005,8771
Laptop,West,4165033.4799999967,734380.3800000018,9112
