Product Name,Region,Total Sales,Total Profit,Total Quantity
Printer,West,2607167.919999998,455920.0300000007,5541
Headphones,West,2455101.380000004,433298.8999999999,5216
Headphones,South,2606423.3200000003,457341.18999999936,5423
Tablet,North,2417251.3600000036,423303.54,5174
Laptop,East,2584671.7499999986,458192.36,5511
Mobile,North,2450507.729999997,432311.55000000034,5340
Monitor,West,2517020.8800000004,445167.8299999996,5511
Mobile,East,2414615.419999999,412135.3199999999,5438
Monitor,North,2524576.690000002,438474.56999999995,5407
Camera,East,2490045.110000004,443408.7599999998,5468
Speaker,East,2413913.340000003,413984.9400000002,5128
Keyboard,East,2438964.86,418893.62999999954,5245
Camera,North,2534957.7000000044,448832.06000000046,5302
Mobile,West,2448084.75,434181.1199999996,5245
Tablet,East,2530762.870000001,436443.5700000001,5313
Keyboard,North,2499767.5800000005,441673.5400000006,5317
Camera,South,2456356.3099999973,432295.8700000002,5290
Keyboard,West,2538889.020000004,442774.75999999983,5345
Speaker,South,2474336.8899999997,441617.31000000064,5043
Monitor,East,2541967.019999999,445999.7100000005,5638
Printer,East,2397083.4000000004,416393.14000000013,4963
Speaker,North,2455925.530000002,434679.6599999998,5384
Headphones,North,2563820.390000001,451371.0100000002,5700
Mouse,South,2401132.8100000015,413787.66999999963,5049
Tablet,West,2303955.900000001,406839.9600000002,4926
Laptop,North,2526922.8000000007,436470.0399999996,5262
Mouse,North,2592093.1500000055,453075.61999999994,5548
Keyboard,South,2460825.929999997,439253.4200000003,5275
Mouse,East,2512871.1299999985,439309.35999999935,5679
Mouse,West,2432322.8399999975,420250.7299999996,5426
Headphones,East,2358648.439999999,413196.4600000009,4975
Mobile,South,2588762.1499999976,443639.19000000024,5643
Tablet,South,2496345.8800000064,439624.19000000006,5342
Monitor,South,2445857.2399999974,435859.25999999966,5292
Printer,North,2332898.97,402721.5499999995,5235
Laptop,South,2574538.5799999996,440810.6300000001,5482
Camera,West,2471791.849999999,432636.51999999967,5671
Printer,South,2499366.639999999,444972.7399999997,5414
Speaker,West,2449665.510000002,432648.1500000001,5052
Laptop,West,2317851.399999999,410634.2300000009,5173
