Product Name,Region,Total Sales,Total Profit,Total Quantity
Printer,West,1805557.1600000006,322103.77999999985,3765
Headphones,West,1784881.9200000002,311831.9400000003,3965
Headphones,South,1595930.989999999,274873.0100000003,3458
Tablet,North,1527271.9200000002,273823.72999999975,3494
Mobile,North,1675129.3,294676.1,3495
Laptop,East,1556555.91,272228.6900000001,3335
Monitor,West,1634160.2300000004,285203.2599999997,3387
Mobile,East,1654733.87,289432.2100000001,3661
Monitor,North,1732514.9700000002,287655.13000000024,3808
Speaker,East,1675079.0600000012,283178.18000000046,3533
Camera,East,1621473.5700000003,279340.9199999998,3621
Keyboard,East,1582387.049999999,276669.67999999993,3512
Mobile,West,1644512.04,297909.92000000016,3512
Camera,North,1720520.2900000017,303628.44999999995,3638
Tablet,East,1641329.8599999992,295847.4600000003,3750
Keyboard,North,1695743.6700000004,294812.8099999997,3610
Camera,South,1754904.889999997,311569.8400000001,3707
Keyboard,West,1733417.1399999997,299243.1399999997,3657
Speaker,South,1744393.1400000013,302380.75,3599
Monitor,East,1648253.2899999996,287023.3999999998,3538
Printer,East,1616634.2099999972,277467.4000000001,3689
Speaker,North,1793294.9699999995,308270.61000000016,3842
Headphones,North,1784930.7599999995,311545.3399999999,3811
Mouse,South,1621669.8700000006,287103.1899999997,3249
Tablet,West,1589144.66,268756.29999999993,3413
Laptop,North,1668622.6600000018,274788.2599999998,3663
Mouse,North,1667778.6900000006,286356.59,3585
Keyboard,South,1584502.8199999996,280534.5700000002,3428
Mouse,East,1527525.8999999969,264626.71999999986,3228
Mouse,West,1638961.7299999986,280357.56999999995,3562
Headphones,East,1662325.5099999988,290692.4300000003,3499
Mobile,South,1718445.210000002,288684.69999999995,3694
Tablet,South,1587815.8300000005,276465.41000000015,3464
Monitor,South,1672116.8100000015,297693.08999999973,3567
Printer,North,1783283.5700000012,316074.4999999999,3838
Laptop,South,1668062.4599999983,291253.7199999998,3558
Camera,West,1675720.2399999977,297791.27999999985,3789
Printer,South,1672082.8700000003,294568.23999999993,3603
Speaker,West,1588030.2300000011,277554.93999999994,3564
Laptop,West,1561795.010000001,271433.1699999997,3279
