Order Date,Total Sales,Total Profit,Total Quantity
2026-06-20,3091372.490000006,527695.8699999991,6622
2026-06-27,3173503.5299999956,545590.1900000004,6885
2026-07-08,3145445.9199999995,554179.9300000009,6838
2026-07-09,3137241.77,551532.2799999998,6774
2026-06-24,3311574.400000002,577412.040000001,7159
2026-07-10,3379328.4000000055,581077.1400000001,7232
2026-07-03,3177829.759999998,551468.7,7029
2026-06-18,3278467.0300000003,565505.8499999996,6958
2026-06-21,3059473.599999997,537797.7600000001,6674
2026-07-01,3212923.210000002,562464.6000000002,7068
2026-07-12,3170548.1600000006,560469.960000001,6816
2026-07-05,3019769.5100000026,536861.0899999996,6446
2026-06-30,3126691.0499999993,547285.1000000001,6783
2026-06-16,3241327.929999999,563418.6200000003,7156
2026-06-13,3179338.8399999966,563011.4599999994,6835
2026-06-12,3201832.259999999,560101.7699999996,6772
2026-06-23,3145481.000000004,555171.7800000005,6776
2026-06-28,3410224.500000005,596264.1299999991,7306
2026-06-14,3113980.3199999966,541415.6300000002,6752
2026-07-07,3200873.299999997,556975.7900000006,6810
2026-06-26,3155447.8800000045,554839.559999999,6957
2026-07-11,3281679.4500000007,578953.8400000003,6926
2026-06-15,3287763.2499999977,571146.7899999998,6970
2026-06-19,3123473.0500000045,544257.5400000002,6736
2026-06-22,3212035.540000001,558279.8199999996,6782
2026-07-04,3108426.6600000043,547482.6199999995,6827
2026-06-25,3362200.7900000024,597324.4499999996,7215
2026-06-29,3274849.3300000024,582101.6799999998,6822
2026-07-02,3126056.800000002,551027.6099999999,6760
2026-07-06,3230211.8099999963,582237.8999999998,6865
2026-06-17,3188690.9000000022,561072.5900000001,6835
