Order Date,Total Sales,Total Profit,Total Quantity
2022-03-28,6485,602.46,9
2022-07-31,15706,2500.36,26
2024-09-18,11644,1547.3,23
2023-06-22,4816,390.63,16
2023-07-15,25160,3870.1699999999996,52
2024-06-04,11905,1619.0299999999997,22
2022-07-27,4152,1065.46,6
2023-05-22,13924,869.6,14
2022-08-02,7810,2001.77,22
2024-05-30,12705,2780.11,19
2022-12-25,4964,1122.3,7
2023-09-14,12447,3262.24,23
2024-06-12,8278,1426.47,9
2022-11-29,6097,990.1500000000001,14
2023-11-08,2756,703.24,9
2024-02-05,582,76.45,2
2022-01-31,21980,4543.16,30
2023-11-22,10781,1802.96,25
2024-11-02,16219,2596.55,28
2024-10-24,3336,798.26,3
2024-05-25,24671,5136.52,28
2022-05-19,6799,1131.9,11
2023-02-25,8973,471.86,9
2024-11-25,6705,927.65,10
2023-06-18,6544,1086.29,8
2023-09-19,18209,3233.29,24
2022-06-18,31506,6751.24,41
2022-01-29,15648,3570.7799999999997,29
2024-01-07,12929,1195.91,13
2022-06-22,4886,1187.42,13
2022-05-26,8720,1984.11,8
2022-11-21,4250,703.6099999999999,12
2022-03-16,7428,754.91,8
2022-06-06,8703,1865.0700000000002,33
2023-06-23,1081,229.32,1
2023-02-08,7195,1587.57,9
2023-12-10,8496,2217.09,13
2024-10-02,14972,3333.99,21
2023-11-29,25537,4484.84,43
2022-07-07,6693,1391.0300000000002,12
2024-08-30,4815,338.31,5
2024-04-20,19421,3890.9900000000002,29
2024-11-23,8848,1392.63,8
2022-12-09,1959,385.97999999999996,6
2022-03-12,22805,4301.26,30
2022-04-10,8727,1178.03,11
2024-01-11,8043,1641.92,14
2022-03-15,6999,1262.07,24
2023-03-12,4504,727.94,8
2022-04-02,12003,1839.25,18
2024-07-08,1175,171.51,1
2024-11-29,3212,514.92,4
2024-09-10,14851,2518.46,22
2023-11-25,10701,1201.77,13
2023-03-24,12147,1662.28,23
2023-09-27,3548,846.11,5
2022-12-02,4015,800.47,16
2022-10-19,13816,2925.02,18
2023-01-01,13293,2342.41,21
2023-07-29,11342,2261.88,20
2024-10-25,11455,1251.78,14
2023-11-17,11247,1715.42,19
2024-08-05,1349,310.78,2
2024-02-04,6056,1234.68,22
2022-02-25,10858,2018.7,18
2022-12-20,6792,1787.97,6
2023-06-24,22343,3069.63,40
2024-12-01,11912,1233.75,15
2023-05-03,3921,512.1099999999999,9
2024-05-19,7999,1842.3,11
2024-09-30,12597,3041.4300000000003,18
2022-02-16,14526,3063.6900000000005,27
2024-08-12,10144,957.59,16
2022-08-11,7098,547.3499999999999,14
2024-07-05,25919,4211.369999999999,37
2024-07-11,22553,4483.86,41
2023-09-03,5778,555.75,10
2024-08-14,13023,2730.35,16
2023-11-18,8844,1582.99,9
2022-09-29,8486,1378.94,25
2022-11-20,3640,695.31,4
2023-10-12,11553,1161.6100000000001,14
2024-07-18,13142,2411.6,29
2024-02-16,4437,515.3199999999999,7
2024-03-28,14886,1226.48,18
2023-11-24,13263,2274.79,18
2023-08-28,4656,601.71,6
2024-12-12,10894,1723.4,16
2024-08-04,17601,3037.13,26
2024-02-09,5724,967.24,6
2024-08-29,8271,1422.86,18
2024-10-22,10175,1631.02,23
2024-03-31,15352,1775.3500000000001,24
2023-07-18,17060,1926.96,22
2023-05-16,4670,1011.38,13
