Order Date,Total Sales,Total Profit,Total Quantity
2026-06-20,5487651.510000003,950130.6600000008,11720
2026-06-27,5525004.239999997,961839.9200000002,11929
2026-07-08,5397822.360000001,944999.7400000007,11715
2026-07-09,5474050.090000007,960832.2499999984,11852
2026-06-24,5746241.230000007,1013946.3499999995,12513
2026-07-10,5683245.850000012,993704.0700000004,12193
2026-07-03,5437871.800000003,962172.6300000004,11958
2026-06-18,5614223.650000003,967030.8200000019,12120
2026-06-21,5303529.7000000095,923612.93,11623
2026-07-01,5388867.090000002,943693.8100000005,11883
2026-07-12,5550606.569999998,975585.4699999996,12082
2026-07-05,5228449.909999993,929209.6400000008,11013
2026-06-30,5623233.070000008,968585.0300000019,12179
2026-06-16,5638292.880000007,986717.1600000008,12389
2026-06-13,5690603.970000013,994182.4799999987,12358
2026-06-12,5630251.440000008,990857.659999998,11905
2026-06-23,5408517.17,946858.860000001,11920
2026-06-28,5924155.819999994,1045862.2499999973,12639
2026-06-14,5360073.729999997,943073.4400000012,11704
2026-07-07,5386283.130000005,942884.1100000002,11649
2026-06-26,5464704.320000003,971100.8100000008,12166
2026-07-11,5593321.0000000065,977280.8999999991,11754
2026-06-15,5529678.449999995,964672.1499999997,11819
2026-06-19,5513976.660000003,968009.4900000019,11941
2026-06-22,5468484.249999989,953807.99,11436
2026-07-04,5435819.050000001,937532.0699999998,11786
2026-06-25,5706932.939999997,1009030.1499999993,12276
2026-06-29,5502667.969999992,964176.8900000016,11499
2026-07-02,5371160.269999997,952237.0099999978,11645
2026-07-06,5619103.299999991,1008621.4400000003,11882
2026-06-17,5440120.910000003,945258.7299999984,11709
