Product Name,Total Sales,Total Profit,Total Quantity
Speaker,6800797.400000006,1171384.4800000018,14538
Laptop,6455036.039999999,1109703.840000001,13835
Mouse,6455936.190000004,1118444.0699999998,13624
Camera,6772618.989999999,1192330.4900000007,14755
Mobile,6692820.419999985,1170702.9299999997,14362
Tablet,6345562.27000001,1114892.8999999997,14121
Printer,6877557.8100000145,1210213.9200000025,14895
Keyboard,6596050.679999983,1151260.1999999988,14207
Monitor,6687045.300000013,1157574.8800000006,14300
Headphones,6828069.180000009,1188942.7200000028,14733
