Product Name,Total Sales,Total Profit,Total Quantity
Speaker,1.6913767339999974E7,2973986.3400000026,36102
Laptop,1.744418490000003E7,3061504.030000001,37212
Mouse,1.7141672310000017E7,2996833.829999999,37243
Camera,1.7179753189999994E7,3021784.080000006,37035
Mobile,1.708394222999995E7,2978388.2099999995,37258
Tablet,1.6788025399999995E7,2933970.8900000006,36426
Printer,1.7154441660000052E7,3008944.2600000016,36816
Keyboard,1.7161335919999987E7,2992907.5599999907,37049
Monitor,1.7100426429999996E7,3020465.5999999866,37176
Headphones,1.717739494999998E7,3008722.109999998,36940
