Product Name,Total Sales,Total Profit,Total Quantity
Speaker,9793841.270000007,1722930.0600000003,20607
Laptop,1.0003984529999977E7,1746107.2600000007,21428
Mouse,9938419.930000035,1726423.3800000048,21702
Camera,9953150.969999969,1757173.2099999997,21731
Mobile,9901970.049999999,1722267.1800000023,21666
Tablet,9748316.009999992,1706211.2600000089,20755
Printer,9836516.929999994,1720007.459999999,21153
Keyboard,9938447.389999961,1742595.349999998,21182
Monitor,1.002942182999999E7,1765501.3700000013,21848
Headphones,9983993.529999997,1755207.5599999977,21314
