Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2026-07-12,Mouse,Accessories,West,2,2561.97,281.46
2026-06-24,Mobile,Electronics,North,8,4913.16,1145.24
2026-06-20,Monitor,Electronics,East,8,2143.75,627.8
2026-07-08,Speaker,Accessories,South,4,4954.79,1074.65
2026-06-30,Speaker,Accessories,West,3,2897.61,611.92
2026-06-24,Printer,Office,South,4,4020.63,449.22
2026-07-12,Printer,Office,East,6,102.39,14.85
2026-06-15,Tablet,Electronics,South,1,2803.51,694.27
2026-07-08,Monitor,Electronics,West,5,4301.73,715.21
2026-07-07,Monitor,Electronics,West,5,1567.57,87.74
2026-06-13,Mouse,Accessories,West,1,4671.66,867.03
2026-06-22,Mouse,Accessories,West,8,622.44,101.37
2026-07-08,Speaker,Accessories,North,1,3634.27,949.39
2026-07-07,Keyboard,Accessories,West,2,3513.71,245.02
2026-06-30,Speaker,Accessories,East,6,3294.77,259.27
2026-07-06,Printer,Office,North,6,2389.42,523.7
2026-06-15,Mouse,Accessories,West,5,758.86,135.38
2026-07-04,Speaker,Accessories,West,5,133.74,7.81
2026-06-12,Keyboard,Accessories,West,3,4654.11,274.87
2026-07-03,Mobile,Electronics,North,4,2235.3,460.36
2026-07-12,Monitor,Electronics,North,8,1507.81,390.16
2026-06-16,Mobile,Electronics,North,3,1210.85,116.88
2026-06-19,Mouse,Accessories,North,8,1012.34,220.04
2026-07-04,Tablet,Electronics,East,3,3382.21,720.81
2026-06-19,Keyboard,Accessories,East,2,2886.76,348.21
2026-07-01,Mouse,Accessories,West,7,1857.9,135.79
2026-07-03,Tablet,Electronics,South,8,658.72,92.54
2026-06-19,Monitor,Electronics,North,1,2689.31,314.3
2026-07-04,Camera,Electronics,West,9,2162.19,296.3
2026-06-24,Keyboard,Accessories,North,10,4354.81,1081.4
2026-07-07,Mouse,Accessories,South,5,2137.43,347.41
2026-06-12,Mobile,Electronics,North,8,4046.12,848.07
2026-06-22,Tablet,Electronics,South,9,3522.24,410.21
2026-07-12,Tablet,Electronics,North,10,3268.7,879.05
2026-06-26,Headphones,Accessories,East,10,2661.08,670.28
2026-06-25,Keyboard,Accessories,North,2,4664.98,363.7
2026-07-12,Headphones,Accessories,North,7,3306.38,667.32
2026-06-24,Monitor,Electronics,South,10,3083.33,269.53
2026-06-14,Speaker,Accessories,East,3,2456.22,534.76
2026-07-09,Monitor,Electronics,North,9,2992.64,457.39
2026-07-05,Headphones,Accessories,East,4,846.82,170.04
2026-07-02,Tablet,Electronics,South,3,3061.72,182.35
2026-06-22,Headphones,Accessories,East,4,3156.43,935.3
2026-06-25,Camera,Electronics,East,10,3210.59,374.46
2026-06-16,Headphones,Accessories,South,5,4926.55,1334.26
2026-07-09,Speaker,Accessories,South,6,3746.56,596.53
2026-06-19,Speaker,Accessories,West,6,2462.45,495.05
2026-06-24,Laptop,Electronics,North,2,3551.61,215.74
2026-06-25,Tablet,Electronics,South,5,1615.85,393.8
2026-06-29,Speaker,Accessories,North,8,1088.03,58.96
2026-07-12,Printer,Office,East,4,4767.26,730.13
2026-06-17,Printer,Office,South,5,238.73,21.78
2026-06-14,Keyboard,Accessories,West,4,1593.68,314.96
2026-07-05,Mouse,Accessories,East,2,1568.7,461.41
2026-06-27,Mobile,Electronics,East,8,3554.34,257.35
2026-06-29,Headphones,Accessories,North,2,907.43,55.65
2026-06-13,Tablet,Electronics,East,8,606.4,75.1
2026-07-09,Laptop,Electronics,South,5,3131.12,373.55
2026-07-05,Mouse,Accessories,West,3,4686.64,1045.43
2026-06-18,Keyboard,Accessories,West,3,734.96,218.7
2026-07-04,Keyboard,Accessories,East,1,3584.44,238.78
2026-06-27,Keyboard,Accessories,West,1,2442.3,238.91
